rows = [
	[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6],
	[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6],
	[6,6,6,6,6,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6],
	[6,6,6,6,2,6,6,6,6,3,6,6,6,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,6],
	[6,6,6,6,2,6,6,6,6,3,6,6,6,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,6],
	[6,6,6,3,6,6,6,6,6,6,0,0,0,4,4,4,4,4,4,4,4,1,4,4,4,4,4,3,6,6],
	[6,6,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,6,2,4,4,4,4,3,6,6],
	[6,6,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,6,6,2,4,4,4,3,6,6],
	[6,6,2,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,3,6,6,6,2,4,4,4,3,6,6],
	[6,6,2,4,4,4,3,2,4,4,6,4,4,4,4,4,4,4,4,3,6,6,2,4,4,4,4,3,6,6],
	[6,6,2,4,4,4,3,2,4,4,6,4,4,4,4,4,4,4,4,3,6,6,2,4,4,4,4,3,6,6],
	[6,6,2,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,3,6,6,6,2,4,4,4,3,6,6],
	[6,6,2,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,3,6,6,6,2,4,4,4,3,6,6],
	[6,6,2,4,4,4,3,2,4,4,4,4,6,4,4,4,4,4,4,4,3,6,6,2,4,4,4,3,6,6],
	[6,6,6,1,1,1,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,3,6,2,4,4,4,3,6,6],
	[6,6,6,0,0,0,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,3,6,2,4,4,4,3,6,6],
	[6,6,2,4,4,4,3,2,4,4,4,4,4,4,4,1,1,1,4,4,4,4,0,4,4,4,4,3,6,6],
	[6,6,2,4,4,4,4,2,4,4,4,4,4,4,3,6,6,6,2,4,4,4,4,4,4,4,4,3,6,6],
	[6,6,2,4,4,4,4,4,4,4,4,4,4,4,3,6,6,6,2,4,4,4,4,4,4,4,4,3,6,6],
	[6,6,2,4,4,4,4,4,4,4,4,4,4,4,3,6,6,6,2,4,4,4,4,4,4,4,4,3,6,6],
	[6,6,2,4,4,4,4,4,4,4,4,1,1,1,6,6,6,6,2,4,4,4,4,4,4,4,4,3,6,6],
	[6,6,2,4,4,4,4,4,4,1,1,6,6,6,6,6,6,6,2,4,4,4,4,4,4,4,4,3,6,6],
	[6,6,6,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,6,6,6],
	[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6],
	[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6],
]

(30 cols, 25 rows)
